timestamp,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
2025-07-02 08:32:25.049936,0.0011397053491951517,0.002887521695570714,0.205019160032444,7.378042197250832e-05,-1.7324671407162184e-06,0.9998836481220469,0.015254008377949187,-0.002234376283961338,-7.713515382925611e-05,0.0,0.0,0.0,-2.3332259650440466
2025-07-02 08:32:25.059582,0.001161965770720986,0.0028873954977408326,0.2050192367762822,9.205389699504684e-05,-3.0519652424197214e-06,0.9996376838026929,0.02691640091752221,-0.0022171428067145867,-9.052025025305681e-05,0.0,0.0,0.0,-2.3328331038374954
2025-07-02 08:32:25.080396,0.0011840496137981227,0.002886897730464442,0.20501930737614468,0.0001102654988513156,-4.794813534095833e-06,0.9992557735095533,0.03857313736726368,-0.0021991352012670656,-0.00010414373669235036,0.0,0.0,0.0,-2.3324298916565285
2025-07-02 08:32:25.091306,0.0012059441906186819,0.002886035258665981,0.20501937212514934,0.00012840141144360964,-6.95874424113872e-06,0.9987380407334391,0.05022259906242166,-0.0021804222009726695,-0.00011743986060634843,0.0,0.0,0.0,-2.3320223571320695
2025-07-02 08:32:25.091818,0.0012276399922674713,0.0028848157569379535,0.20501943112089244,0.00014644682656099318,-9.540875591976987e-06,0.9980846272227795,0.06186319878460535,-0.0021615017498861607,-0.00013074808318536612,0.0,0.0,0.0,-2.331615936365473
2025-07-02 08:32:25.099778,0.00124913214146691,0.002883249837133031,0.20501948412581492,0.00016438537542702616,-1.2538388393955937e-05,0.9972956914459729,0.07349337822917196,-0.0021426520795130794,-0.00014435157156643137,0.0,0.0,0.0,-2.331215905960312
2025-07-02 08:32:25.114128,0.0012704214968657836,0.002881350613913913,0.20501953071983386,0.00018219871785232533,-1.594842338278637e-05,0.9963714071894073,0.08511160605155524,-0.00212458206378838,-0.00015852513277104952,0.0,0.0,0.0,-2.330826618977404
2025-07-02 08:32:25.121861,0.0012915156815014885,0.002879124796437283,0.20501957095702453,0.00019986557880997464,-1.9766542353564786e-05,0.9953119624238986,0.09671637461630792,-0.0021078649118653767,-0.0001723228047307616,0.0,0.0,0.0,-2.330452615579202
2025-07-02 08:32:25.129883,0.0013124251946216457,0.0028765750557429933,0.20501960499450725,0.00021736366401105148,-2.3986626346196948e-05,0.9941175575056944,0.10830620497733111,-0.002092752211278467,-0.0001860841103864814,0.0,0.0,0.0,-2.3300992959812334
2025-07-02 08:32:25.139841,0.0013331644362967775,0.0028737054036180884,0.2050196332286199,0.00023466952855798879,-2.8602306556822372e-05,0.9927884036948657,0.1198796463171328,-0.002079626562673021,-0.00019994522966034357,0.0,0.0,0.0,-2.3297715280223903
2025-07-02 08:32:25.149777,0.0013537510709203723,0.0028705190205595616,0.2050196562657529,0.00025175877983493966,-3.3606437929928144e-05,0.9913247218181096,0.13143527456650114,-0.002068699870658682,-0.00021419971878923076,0.0,0.0,0.0,-2.329474172330696
2025-07-02 08:32:25.161319,0.0013742019765887734,0.002867017705097773,0.2050196752420945,0.0002686078112749343,-3.899128087827849e-05,0.9897267406043334,0.14297169391962286,-0.002058690197905721,-0.00022812690517867067,0.0,0.0,0.0,-2.3292143684927096
2025-07-02 08:32:25.178659,0.001394449994232035,0.002863218336442684,0.20501969193006428,0.00028523259159802324,-4.4752417834072864e-05,0.9879946812642998,0.1544876255013465,-0.002037345602326293,-0.00024167366818941875,0.0,0.0,0.0,-2.3290267811211325
2025-07-02 08:32:25.179549,0.0014144333181943971,0.0028591551029381055,0.20501970863785834,0.0003016498776186766,-5.088834877009131e-05,0.9861287603864677,0.1659818494787185,-0.002014069207949263,-0.0002561551664894853,0.0,0.0,0.0,-2.328899483179555
